Timestamp,Command,Value,ServerTime,Rtt
1756786202416,hello,OK hello,2,6
1756786202554,hello,OK hello,2,4
1756786202687,hello,OK hello,0,1
1756786202818,hello,OK hello,0,3
1756786202956,hello,OK hello,0,3
1756786203096,23,23 = 23,1,4
1756786204159,23,23 = 23,25,27
1756786204602,23,23 = 23,34,38
1756786204990,23,23 = 23,3,185
1756786205521,23,23 = 23,0,403
1756786206496,listifs,lo -> 127.0.0.1,0:0:0:0:0:0:0:1 | eth0 -> 10.147.17.51,fe80:0:0:0:3a94:1366:9806:d65c%eth0 | wlan1 -> 192.168.18.9,2803:e5e0:1d09:ac00:47e7:4fe0:55b2:a8fe,2803:e5e0:1d09:ac00:bda8:59ed:9ce1:c842,fe80:0:0:0:346f:9fe0:4e84:9fa%wlan1 | eth18 -> 172.25.16.1,fe80:0:0:0:9b0e:1711:20e0:bda1%eth18,437,854
1756786207323,listifs,lo -> 127.0.0.1,0:0:0:0:0:0:0:1 | eth0 -> 10.147.17.51,fe80:0:0:0:3a94:1366:9806:d65c%eth0 | wlan1 -> 192.168.18.9,2803:e5e0:1d09:ac00:47e7:4fe0:55b2:a8fe,2803:e5e0:1d09:ac00:bda8:59ed:9ce1:c842,fe80:0:0:0:346f:9fe0:4e84:9fa%wlan1 | eth18 -> 172.25.16.1,fe80:0:0:0:9b0e:1711:20e0:bda1%eth18,410,719
1756786211717,listifs,lo -> 127.0.0.1,0:0:0:0:0:0:0:1 | eth0 -> 10.147.17.51,fe80:0:0:0:3a94:1366:9806:d65c%eth0 | wlan1 -> 192.168.18.9,2803:e5e0:1d09:ac00:47e7:4fe0:55b2:a8fe,2803:e5e0:1d09:ac00:bda8:59ed:9ce1:c842,fe80:0:0:0:346f:9fe0:4e84:9fa%wlan1 | eth18 -> 172.25.16.1,fe80:0:0:0:9b0e:1711:20e0:bda1%eth18,792,4284
1756786215822,listifs,lo -> 127.0.0.1,0:0:0:0:0:0:0:1 | eth0 -> 10.147.17.51,fe80:0:0:0:3a94:1366:9806:d65c%eth0 | wlan1 -> 192.168.18.9,2803:e5e0:1d09:ac00:47e7:4fe0:55b2:a8fe,2803:e5e0:1d09:ac00:bda8:59ed:9ce1:c842,fe80:0:0:0:346f:9fe0:4e84:9fa%wlan1 | eth18 -> 172.25.16.1,fe80:0:0:0:9b0e:1711:20e0:bda1%eth18,789,3990
1756786220105,listifs,lo -> 127.0.0.1,0:0:0:0:0:0:0:1 | eth0 -> 10.147.17.51,fe80:0:0:0:3a94:1366:9806:d65c%eth0 | wlan1 -> 192.168.18.9,2803:e5e0:1d09:ac00:47e7:4fe0:55b2:a8fe,2803:e5e0:1d09:ac00:bda8:59ed:9ce1:c842,fe80:0:0:0:346f:9fe0:4e84:9fa%wlan1 | eth18 -> 172.25.16.1,fe80:0:0:0:9b0e:1711:20e0:bda1%eth18,390,4166
1756786228065,listports 127.0.0.1,25/smtp | 110/pop3 | 119/tcp | 135/tcp | 143/imap | 445/tcp | 465/tcp | 563/tcp | 587/smtp-sub | 993/imaps | 995/pop3s | 5432/postgres,3925,7616
1756786235708,listports 127.0.0.1,25/smtp | 110/pop3 | 119/tcp | 135/tcp | 143/imap | 445/tcp | 465/tcp | 563/tcp | 587/smtp-sub | 993/imaps | 995/pop3s | 5432/postgres,4336,7537
1756786239463,listports 127.0.0.1,25/smtp | 110/pop3 | 119/tcp | 135/tcp | 143/imap | 445/tcp | 465/tcp | 563/tcp | 587/smtp-sub | 993/imaps | 995/pop3s | 5432/postgres,3382,3644
1756786243747,listports 127.0.0.1,25/smtp | 110/pop3 | 119/tcp | 135/tcp | 143/imap | 445/tcp | 465/tcp | 563/tcp | 587/smtp-sub | 993/imaps | 995/pop3s | 5432/postgres,4062,4165
1756786247311,listports 127.0.0.1,25/smtp | 110/pop3 | 119/tcp | 135/tcp | 143/imap | 445/tcp | 563/tcp | 587/smtp-sub | 993/imaps | 995/pop3s | 5432/postgres,2953,3432
1756786247664,!ls,Printer.ice README.md build.gradle client gradle gradlew gradlew.bat logs run_tests.ps1 server settings.gradle,179,241
1756786248042,!ls,Printer.ice README.md build.gradle client gradle gradlew gradlew.bat logs run_tests.ps1 server settings.gradle,172,270
1756786248317,!ls,Printer.ice README.md build.gradle client gradle gradlew gradlew.bat logs run_tests.ps1 server settings.gradle,161,163
1756786248569,!ls,Printer.ice README.md build.gradle client gradle gradlew gradlew.bat logs run_tests.ps1 server settings.gradle,140,141
1756786248854,!ls,Printer.ice README.md build.gradle client gradle gradlew gradlew.bat logs run_tests.ps1 server settings.gradle,174,175
